Facility Name,geometry,SA2_CODE21,SA2_NAME21
Hawthorn - Malvern Hockey Centre,POINT (327611.98074715806 5810130.204720631),207011520,Hawthorn - South
Matlock Reserve,POINT (330342.1000679708 5811479.330816515),207011155,Surrey Hills (West) - Canterbury
Ashburton Bowls Club,POINT (331589.3208282166 5807406.335037246),207011146,Ashburton (Vic.)
Auburn Bowls Club,POINT (328082.92210346373 5811568.485980376),207011152,Hawthorn East
Burwood District Bowls Club,POINT (332283.0038567346 5808534.312990383),207011150,Glen Iris - East
Camberwell Central Bowls Club,POINT (329540.9709400619 5810279.804281104),207011149,Camberwell
Hawthorn Bowling Club,POINT (325644.406032805 5812369.713892929),207011519,Hawthorn - North
Kew Heights Sports Club,POINT (328621.1300327759 5812796.650485877),207011521,Kew - South
Melbourne Cricket Club Bowls Club,POINT (327264.4608467766 5811739.938100046),207011520,Hawthorn - South
North Balwyn Bowls Club,POINT (330589.0789981619 5814642.80957294),207011148,Balwyn North
Hawthorn Rowing Club,POINT (325377.5884065835 5812215.401162219),207011519,Hawthorn - North
H.A. Smith Reserve,POINT (327084.36131434864 5810498.230427733),207011520,Hawthorn - South
Balwyn Community Centre Tennis,POINT (331772.7979564277 5813095.082226733),207011155,Surrey Hills (West) - Canterbury
Boroondara Tennis Centre,POINT (330911.1461049926 5816961.231206337),207011148,Balwyn North
Camberwell Junction Tennis,POINT (328994.84682758676 5810902.338955266),207011149,Camberwell
Hawthorn Tennis Club,POINT (327159.43308589293 5811747.166397359),207011520,Hawthorn - South
Kew East Catholic Tennis Club,POINT (328922.4518833589 5815530.3888746705),207011154,Kew East
North Balwyn Tennis Club,POINT (330800.52549433603 5814704.997646598),207011148,Balwyn North
JR Parsons Reserve,POINT (309483.6844628716 5814612.345913263),213011336,Sunshine
Keilor Park Recreation Reserve,POINT (310386.6841992914 5823604.662378618),210011228,Keilor
Keilor Park Recreational Reserve,POINT (310954.54879424267 5823664.211346734),210011228,Keilor
Moore Park,POINT (305874.8074389548 5817049.375121575),213011328,Ardeer - Albion
Sassella Park,POINT (303940.5940775804 5818032.255635681),213011569,Deer Park
Ainsworth Reserve,POINT (306354.95640896005 5815561.888543535),213011338,Sunshine West
Bon Thomas Reserve,POINT (303067.6635484566 5816879.898966189),213011569,Deer Park
Cairnlea Park,POINT (305635.8858049923 5818651.456267148),213011329,Cairnlea
Delahey Recreation Reserve,POINT (303809.1945627367 5823318.210153729),213011331,Delahey
Dempster Park,POINT (309568.66225111973 5816922.015896932),213011337,Sunshine North
Diamond Avenue Reserve,POINT (303889.7199561967 5820095.896572454),213011333,Kings Park (Vic.)
Errington Reserve,POINT (306457.08759306173 5820145.146658156),213011335,St Albans - South
Green Gully Reserve,POINT (307830.6951162972 5822255.725721808),213011332,Keilor Downs
John McLeod Reserve,POINT (304270.50668602134 5817164.952369542),213011569,Deer Park
Keilor Recreation Reserve,POINT (308968.15288630873 5823327.907427745),210011228,Keilor
Kevin Flint Reserve,POINT (305630.6747806465 5818651.888473768),213011329,Cairnlea
Kings Park,POINT (304077.82479647576 5821507.576558964),213011333,Kings Park (Vic.)
Lionheart Reserve,POINT (305335.97480987327 5824244.1619795095),213011340,Taylors Lakes
Robert Bruce Reserve,POINT (304123.6085896697 5819143.370417916),213011569,Deer Park
Selwyn Park,POINT (307510.3647128567 5816148.024039929),213011328,Ardeer - Albion
Tallintyre Reserve,POINT (307358.6841717689 5814146.726026889),213011338,Sunshine West
Barclay Reserve,POINT (308542.82988743077 5816256.039903235),213011328,Ardeer - Albion
Antwerp Drive Reserve,POINT (307066.6097672101 5822762.606645429),213011332,Keilor Downs
Ardeer Community Park,POINT (306730.2904610677 5816040.144678215),213011328,Ardeer - Albion
Biggs/William Street Reserve,POINT (307569.1444472849 5821019.660980011),213011334,St Albans - North
Bothwell Park,POINT (302486.9663893529 5814903.587425208),213011570,Derrimut
Brimbank College,POINT (304793.34929200006 5820713.358735183),213011334,St Albans - North
Buckingham Reserve,POINT (308914.9459143466 5814329.247095716),213011338,Sunshine West
Calais/Delbridge Reserve,POINT (302549.4972386532 5825220.887873387),213011339,Sydenham
Calder Park/Community Hub Reserve,POINT (302173.2006675643 5824820.714749514),213011339,Sydenham
Calder Rise Park,POINT (308174.676873564 5823394.877454329),210011228,Keilor
Caprice Court Reserve,POINT (305460.50969411817 5822942.948605175),213011332,Keilor Downs
